service_id,date,exception_type
222097WD,20151115,1
222097WD,20151116,1
222097WD,20151117,1
222097WD,20151118,1
222097WD,20151119,1
222097WD,20151120,1
222097WD,20151121,1
222097WD,20151122,1
222097WD,20151123,1
222097WD,20151124,1
222097WD,20151125,1
222097WD,20151126,1
222097WD,20151127,1
222097WD,20151128,1
222097WD,20151129,1
222097WD,20151130,1
222097WD,20151201,1
222097WD,20151202,1
222097WD,20151203,1
222097WD,20151204,1
222097WD,20151205,1
222097WD,20151206,1
222097WD,20151207,1
222097WD,20151208,1
222097WD,20151209,1
222097WD,20151210,1
222097WD,20151211,1
222097WD,20151212,1
222097WD,20151213,1
222097WD,20151214,1
222097WD,20151215,1
222097WD,20151216,1
222097WD,20151217,1
222097WD,20151218,1
222097WD,20151219,1
222097WD,20151220,1
222097WD,20151221,1
222097WD,20151222,1
222097WD,20151223,1
222097WD,20151224,1
222097WD,20151225,1
222097WD,20151226,1
222097WD,20151227,1
222097WD,20151228,1
222097WD,20151229,1
222097WD,20151230,1
222097WD,20151231,1
222097WD,20160101,1
222097WD,20160102,1
222097WD,20160103,1
222097WD,20160104,1
222097WD,20160105,1
222097WD,20160106,1
222097WD,20160107,1
222097WD,20160108,1
222097WD,20160109,1
222097WD,20160110,1
222097WD,20160111,1
222097WD,20160112,1
222097WD,20160113,1
222097WD,20160114,1
222097WD,20160115,1
222097WD,20160116,1
222097WD,20160117,1
222097WD,20160118,1
222097WD,20160119,1
222097WD,20160120,1
222097WD,20160121,1
222097WD,20160122,1
222097WD,20160123,1
222097WD,20160124,1
222097WD,20160125,1
222097WD,20160126,1
222097WD,20160127,1
222097WD,20160128,1
222097WD,20160129,1
222097WD,20160130,1
222097WD,20160131,1
222097WD,20160201,1
222097WD,20160202,1
222097WD,20160203,1
222097WD,20160204,1
222097WD,20160205,1
222097WD,20160206,1
222097WD,20160207,1
222097WD,20160208,1
222097WD,20160209,1
222097WD,20160210,1
222097WD,20160211,1
222097WD,20160212,1
