trip_id,arrival_time,departure_time,stop_id,stop_sequence
222097OTS0_05,12:53:00,12:53:00,n815_0,1
222097OTS0_05,12:55:00,12:55:00,n841_0,2
222097OTS0_05,12:56:00,12:56:00,n840_0,3
222097OTS0_05,12:57:00,12:57:00,n839_0,4
222097OTS0_05,12:59:00,12:59:00,n838_0,5
222097OTS0_05,13:00:00,13:00:00,n837_0,6
222097OTS0_05,13:00:30,13:00:30,n836_0,7
222097OTS0_05,13:02:00,13:02:00,n835_0,8
222097OTS0_05,13:03:00,13:03:00,n834_0,9
222097OTS0_05,13:04:00,13:04:00,n833_0,10
222097OTS0_05,13:06:00,13:06:00,n3340_2,11
222097OTS0_05,13:07:00,13:07:00,n3339_0,12
222097OTS0_05,13:07:00,13:07:00,n792_0,13
222097OTS0_05,13:08:00,13:08:00,n832_0,14
222097OTS0_05,13:08:00,13:08:00,n3386_0,15
222097OTS0_05,13:10:00,13:10:00,n3385_0,16
222097OTS0_05,13:11:00,13:11:00,n831_0,17
222097OTS0_05,13:13:00,13:13:00,n830_0,18
222097OTS0_05,13:14:00,13:14:00,n52426_0,19
222097OTS0_05,13:15:00,13:15:00,n52427_0,20
222097OTS0_05,13:16:00,13:16:00,n52428_0,21
222097OTS0_05,13:20:00,13:20:00,n829_0,22
222097OTS0_05,13:22:00,13:22:00,n828_0,23
222097OTS0_05,13:23:00,13:23:00,n827_0,24
222097OTS0_05,13:24:00,13:24:00,n826_0,25
222097OTS0_05,13:24:00,13:24:00,n825_0,26
222097OTS0_05,13:25:00,13:25:00,n824_0,27
222097OTS0_05,13:25:00,13:25:00,n823_0,28
222097OTS0_05,13:26:00,13:26:00,n822_0,29
222097OTS0_05,13:27:00,13:27:00,n821_0,30
222097OTS0_05,13:28:00,13:28:00,n820_0,31
222097OTS0_05,13:29:00,13:29:00,n819_0,32
222097OTS0_05,13:30:00,13:30:00,n818_0,33
222097OTS0_05,13:32:00,13:32:00,n817_0,34
222097OTS0_05,13:34:00,13:34:00,n816_0,35
222097OTS0_09,19:53:00,19:53:00,n815_0,1
222097OTS0_09,19:55:00,19:55:00,n841_0,2
222097OTS0_09,19:56:00,19:56:00,n840_0,3
222097OTS0_09,19:57:00,19:57:00,n839_0,4
222097OTS0_09,19:59:00,19:59:00,n838_0,5
222097OTS0_09,20:00:00,20:00:00,n837_0,6
222097OTS0_09,20:00:30,20:00:30,n836_0,7
222097OTS0_09,20:02:00,20:02:00,n835_0,8
222097OTS0_09,20:03:00,20:03:00,n834_0,9
222097OTS0_09,20:04:00,20:04:00,n833_0,10
222097OTS0_09,20:06:00,20:06:00,n3340_2,11
222097OTS0_09,20:07:00,20:07:00,n3339_0,12
222097OTS0_09,20:07:00,20:07:00,n792_0,13
222097OTS0_09,20:08:00,20:08:00,n832_0,14
222097OTS0_09,20:08:00,20:08:00,n3386_0,15
222097OTS0_09,20:10:00,20:10:00,n3385_0,16
222097OTS0_09,20:11:00,20:11:00,n831_0,17
222097OTS0_09,20:13:00,20:13:00,n830_0,18
222097OTS0_09,20:14:00,20:14:00,n52426_0,19
222097OTS0_09,20:15:00,20:15:00,n52427_0,20
222097OTS0_09,20:16:00,20:16:00,n52428_0,21
222097OTS0_09,20:20:00,20:20:00,n829_0,22
222097OTS0_09,20:22:00,20:22:00,n828_0,23
222097OTS0_09,20:23:00,20:23:00,n827_0,24
222097OTS0_09,20:24:00,20:24:00,n826_0,25
222097OTS0_09,20:24:00,20:24:00,n825_0,26
222097OTS0_09,20:25:00,20:25:00,n824_0,27
222097OTS0_09,20:25:00,20:25:00,n823_0,28
222097OTS0_09,20:26:00,20:26:00,n822_0,29
222097OTS0_09,20:27:00,20:27:00,n821_0,30
222097OTS0_09,20:28:00,20:28:00,n820_0,31
222097OTS0_09,20:29:00,20:29:00,n819_0,32
222097OTS0_09,20:30:00,20:30:00,n818_0,33
222097OTS0_09,20:32:00,20:32:00,n817_0,34
222097OTS0_09,20:34:00,20:34:00,n816_0,35
222097OTS1_01,06:40:00,06:40:00,n816_0,1
222097OTS1_01,06:40:00,06:40:00,n817_1,2
222097OTS1_01,06:40:00,06:40:00,n818_1,3
222097OTS1_01,06:41:00,06:41:00,n819_1,4
222097OTS1_01,06:41:00,06:41:00,n820_1,5
222097OTS1_01,06:42:00,06:42:00,n821_1,6
222097OTS1_01,06:42:00,06:42:00,n822_1,7
222097OTS1_01,06:43:00,06:43:00,n823_1,8
222097OTS1_01,06:43:00,06:43:00,n824_1,9
222097OTS1_01,06:44:00,06:44:00,n825_1,10
222097OTS1_01,06:44:00,06:44:00,n826_1,11
222097OTS1_01,06:45:00,06:45:00,n827_1,12
222097OTS1_01,06:45:00,06:45:00,n828_1,13
222097OTS1_01,06:48:00,06:48:00,n829_1,14
222097OTS1_01,06:49:00,06:49:00,n52426_0,15
222097OTS1_01,06:50:00,06:50:00,n52427_0,16
222097OTS1_01,06:51:00,06:51:00,n52428_0,17
222097OTS1_01,06:55:00,06:55:00,n830_1,18
222097OTS1_01,06:56:00,06:56:00,n831_1,19
222097OTS1_01,06:57:00,06:57:00,n3385_1,20
222097OTS1_01,06:59:00,06:59:00,n3386_1,21
222097OTS1_01,07:00:00,07:00:00,n832_1,22
222097OTS1_01,07:01:00,07:01:00,n792_1,23
222097OTS1_01,07:02:00,07:02:00,n3339_1,24
222097OTS1_01,07:04:00,07:04:00,n3340_2,25
222097OTS1_01,07:05:00,07:05:00,n833_1,26
222097OTS1_01,07:06:00,07:06:00,n834_1,27
222097OTS1_01,07:06:00,07:06:00,n835_1,28
222097OTS1_01,07:07:00,07:07:00,n836_1,29
222097OTS1_01,07:07:30,07:07:30,n837_1,30
222097OTS1_01,07:09:00,07:09:00,n838_1,31
222097OTS1_01,07:11:00,07:11:00,n839_1,32
222097OTS1_01,07:13:00,07:13:00,n840_1,33
222097OTS1_01,07:14:00,07:14:00,n841_1,34
222097OTS1_01,07:17:00,07:17:00,n815_0,35
222097OTS1_05,13:40:00,13:40:00,n816_0,1
222097OTS1_05,13:40:00,13:40:00,n817_1,2
222097OTS1_05,13:40:00,13:40:00,n818_1,3
222097OTS1_05,13:41:00,13:41:00,n819_1,4
222097OTS1_05,13:41:00,13:41:00,n820_1,5
222097OTS1_05,13:42:00,13:42:00,n821_1,6
222097OTS1_05,13:42:00,13:42:00,n822_1,7
222097OTS1_05,13:43:00,13:43:00,n823_1,8
222097OTS1_05,13:43:00,13:43:00,n824_1,9
222097OTS1_05,13:44:00,13:44:00,n825_1,10
222097OTS1_05,13:44:00,13:44:00,n826_1,11
222097OTS1_05,13:45:00,13:45:00,n827_1,12
222097OTS1_05,13:45:00,13:45:00,n828_1,13
222097OTS1_05,13:48:00,13:48:00,n829_1,14
222097OTS1_05,13:49:00,13:49:00,n52426_0,15
222097OTS1_05,13:50:00,13:50:00,n52427_0,16
222097OTS1_05,13:51:00,13:51:00,n52428_0,17
222097OTS1_05,13:55:00,13:55:00,n830_1,18
222097OTS1_05,13:56:00,13:56:00,n831_1,19
222097OTS1_05,13:57:00,13:57:00,n3385_1,20
222097OTS1_05,13:59:00,13:59:00,n3386_1,21
222097OTS1_05,14:00:00,14:00:00,n832_1,22
222097OTS1_05,14:01:00,14:01:00,n792_1,23
222097OTS1_05,14:02:00,14:02:00,n3339_1,24
222097OTS1_05,14:04:00,14:04:00,n3340_2,25
222097OTS1_05,14:05:00,14:05:00,n833_1,26
222097OTS1_05,14:06:00,14:06:00,n834_1,27
222097OTS1_05,14:06:00,14:06:00,n835_1,28
222097OTS1_05,14:07:00,14:07:00,n836_1,29
222097OTS1_05,14:07:30,14:07:30,n837_1,30
222097OTS1_05,14:09:00,14:09:00,n838_1,31
222097OTS1_05,14:11:00,14:11:00,n839_1,32
222097OTS1_05,14:13:00,14:13:00,n840_1,33
222097OTS1_05,14:14:00,14:14:00,n841_1,34
222097OTS1_05,14:17:00,14:17:00,n815_0,35
