stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
n3386,島田郵便局,大津線,34.8379005,138.1757396,222097Z_OTS,,1,,0
n825,大津小学校,大津線,34.8552131,138.1812823,222097Z_OTS,,1,,0
n841,島田工業高校,大津線,34.83757,138.202248,222097Z_OTS,,1,,0
n824,落合上,大津線,34.8580239,138.1802226,222097Z_OTS,,1,,0
n817,大草上,大津線,34.870389,138.1814943,222097Z_OTS,,1,,0
n3340_2,島田駅２番のりば,大津線,34.8306057,138.1737912,222097Z_OTS,,0,n3340,0
n831,第二中学校,大津線,34.8446599,138.174991,222097Z_OTS,,1,,0
n840,栃山,大津線,34.836501,138.199278,222097Z_OTS,,1,,0
n829,市民病院北,大津線,34.8467199,138.1832845,222097Z_OTS,,1,,0
n830,中央公園・ばらの丘,大津線,34.8511598,138.174542,222097Z_OTS,,1,,0
n3339,本通三丁目,大津線,34.833551,138.17478,222097Z_OTS,,1,,0
n827,上野田公会堂,大津線,34.8519476,138.182595,222097Z_OTS,,1,,0
n821,尾川,大津線,34.8634168,138.1792494,222097Z_OTS,,1,,0
n832,市役所西,大津線,34.8364648,138.1754269,222097Z_OTS,,1,,0
n822,ぎんもくせい,大津線,34.8611999,138.1797136,222097Z_OTS,,1,,0
n823,永福荘,大津線,34.859912,138.1798456,222097Z_OTS,,1,,0
n3340,島田駅,大津線,34.8306057,138.1737912,222097Z_OTS,,1,,0
n820,大草住宅,大津線,34.8646608,138.1816374,222097Z_OTS,,1,,0
n837,本通七丁目東,大津線,34.833667,138.186484,222097Z_OTS,,1,,0
n828,上野田,大津線,34.8492923,138.1828349,222097Z_OTS,,1,,0
n833,本通三丁目東,大津線,34.832734,138.176081,222097Z_OTS,,1,,0
n836,島田商業高校,大津線,34.8330202,138.1839718,222097Z_OTS,,1,,0
n838,御仮屋,大津線,34.834651,138.190231,222097Z_OTS,,1,,0
n834,本通五丁目,大津線,34.83246,138.178502,222097Z_OTS,,1,,0
n818,大草公会堂,大津線,34.8676734,138.1827441,222097Z_OTS,,1,,0
