trans_id,lang,translation
ぎんもくせい,en,Ghinmokusei
ばらの丘一丁目,en,Barano-okah-Itchowmey
ばらの丘二丁目,en,Barano-okah-Nichowmey
ふれあいセンター,en,Fureai-Center
永福荘,en,Eighfhuku-sow
下湯日,en,Sihmo-Yui
下湯日西,en,Sihmo-Yui-Nishi
旧初,en,Kyuhatsu
旧初下,en,Kyuhatsu-Sihmo
旧初上,en,Kyuhatsu-Kami
慶寿寺入口,en,Keiju-ji-Iriguchi
月坂一丁目,en,Tsukisaka-Icchowmey
月坂一丁目西,en,Tsukisaka-Itchowmey-Nishi
月坂二丁目,en,Tsukisaka-Nitchowmey
原の平,en,Harano-dairah
原の平西,en,Harano-dairah-Nishi
御仮屋,en,Okahriya
幸町,en,Saiwai-matchi
市民病院北,en,SchiminByowin-Kita
市役所西,en,Shiyakusho-Nishi
初倉消防署,en,Hatsukura-Showbowsho
沼伏,en,Numafushi
沼伏西,en,Numafushi-Nishi
沼伏東,en,Numafushi-Higashi
上野田,en,KamiNoda
上野田公会堂,en,KamiNoda-Kowkhaidow
色尾,en,Irowo
色尾西,en,Irowo-Nishi
大草公会堂,en,Ohkhusa-Kowkhaidow
大草住宅,en,Ohkhusa-Juutaku
大草上,en,Ohkhusa-Kami
大津小学校,en,Oghtsu-Showgakkow
大津線,en,Oghtsu-Sen
第二中学校,en,Daini-Tchyougakkow
第二中学校入口,en,Daini-Tchyougakkow-Iriguchi
谷口下,en,Yaguchi-Sihmo
谷口橋,en,Yaguchi-Bashi
谷口辻,en,Yaguchi-Tsuji
中央公園・ばらの丘,en,Tchyouowkowhen-Barano-okah
天徳寺,en,Tentoku-ji
天徳寺行き,en,Tentoku-ji-yuki
島田駅,en,Shimada-Eki
島田駅２番のりば,en,Shimada-Eki-Niban-Noriba
島田工業高校,en,Shimada-Kowghyo-Khoughko
島田市コミュニティバス 大津線,en,Shimada-shi Community Bus Oghtsu-sen
島田市コミュニティバス 湯日線,en,Shimada-shi Community Bus Yui-sen
島田商業高校,en,Shimada-Showghyo-Khoughko
島田郵便局,en,Shimada-Youbinkyoku
湯日線,en,Yui-Sen
道悦島,en,Dowetsujima
栃山,en,Totciyama
栃山橋,en,Totciyama-Bashi
尾川,en,Ogawa
本村,en,Fhonmuhra
本村行き,en,Fhonmuhra-yuki
本通五丁目,en,Fhontowri-Gotchowmey
本通三丁目,en,Fhontouri-Sanchowmey
本通三丁目東,en,Fhontouri-Sanchowmey-Higashi
本通七丁目東,en,Fhontouri-Nanachowmey-Higashi
本通六丁目,en,Fhontouri-Rokuchowmey
落合,en,Octiahi
落合春日神社,en,Octiahi-Kasuga-Jinja
落合上,en,Octiahi-Kami
六合駅,en,Rokhuhgow-Eki
六合駅行き,en,Rokhuhgow-Eki-yuki
六合消防署,en,Rokhuhgow-Showbowsho
六合中学校,en,Rokhuhgow-Tchyougakkow
ぎんもくせい,ja,ぎんもくせい
ばらの丘一丁目,ja,ばらの丘一丁目
ばらの丘二丁目,ja,ばらの丘二丁目
ふれあいセンター,ja,ふれあいセンター
永福荘,ja,永福荘
下湯日,ja,下湯日
下湯日西,ja,下湯日西
旧初,ja,旧初
旧初下,ja,旧初下
旧初上,ja,旧初上
慶寿寺入口,ja,慶寿寺入口
月坂一丁目,ja,月坂一丁目
月坂一丁目西,ja,月坂一丁目西
月坂二丁目,ja,月坂二丁目
原の平,ja,原の平
原の平西,ja,原の平西
御仮屋,ja,御仮屋
幸町,ja,幸町
市民病院北,ja,市民病院北
市役所西,ja,市役所西
初倉消防署,ja,初倉消防署
沼伏,ja,沼伏
沼伏西,ja,沼伏西
沼伏東,ja,沼伏東
上野田,ja,上野田
上野田公会堂,ja,上野田公会堂
色尾,ja,色尾
色尾西,ja,色尾西
大草公会堂,ja,大草公会堂
大草住宅,ja,大草住宅
大草上,ja,大草上
大津小学校,ja,大津小学校
大津線,ja,大津線
第二中学校,ja,第二中学校
第二中学校入口,ja,第二中学校入口
谷口下,ja,谷口下
谷口橋,ja,谷口橋
谷口辻,ja,谷口辻
中央公園・ばらの丘,ja,中央公園・ばらの丘
天徳寺,ja,天徳寺
天徳寺行き,ja,天徳寺行き
島田駅,ja,島田駅
島田駅２番のりば,ja,島田駅２番のりば
島田工業高校,ja,島田工業高校
島田市コミュニティバス 大津線,ja,島田市コミュニティバス 大津線
島田市コミュニティバス 湯日線,ja,島田市コミュニティバス 湯日線
島田商業高校,ja,島田商業高校
島田郵便局,ja,島田郵便局
湯日線,ja,湯日線
道悦島,ja,道悦島
栃山,ja,栃山
栃山橋,ja,栃山橋
尾川,ja,尾川
本村,ja,本村
本村行き,ja,本村行き
本通五丁目,ja,本通五丁目
本通三丁目,ja,本通三丁目
本通三丁目東,ja,本通三丁目東
本通七丁目東,ja,本通七丁目東
本通六丁目,ja,本通六丁目
落合,ja,落合
落合春日神社,ja,落合春日神社
落合上,ja,落合上
六合駅,ja,六合駅
六合駅行き,ja,六合駅行き
六合消防署,ja,六合消防署
六合中学校,ja,六合中学校
